ID,Station_Name,OS X,OS Y,Latitude,Longitude,Zone,Postcode,Zone_original
142,Covent Garden,530242,180982,51.51276003353220,-0.124506894,1,WC2E 9JT,1
143,Crayford,551479,174424,51.44854705225510,0.17850271816040400,6,DA1 3PY,6
144,Crews Hill,530973,200109,51.68447443881020,-0.1068441,6,EN2 8AY,6
145,Cricklewood,524009,185907,51.55842232306200,-0.212547931,3,NW2 1HL,3
146,Crofton Park,536517,174739,51.45517923504130,-0.036546582,3,SE4 2RA,3
147,Crossharbour and London Arena,537896,179301,51.495839957405100,-0.014932813,2,E14 8AD,2
148,Crouch Hill,530586,187508,51.57132690836760,-0.117133284,3,N4 4AU,3
149,Croxley,507921,195395,51.64700456011120,-0.441603787,7,WD3 3DY,7
150,Crystal Palace,534120,170557,51.418170235167800,-0.072607232,3,SE19 2AZ,"3,4"
151,Custom House,540679,180911,51.50962210163040,0.025772510305280600,3,E16 3BX,3
152,Cutty Sark for Maritime Greenwich,538240,177764,51.48194445322960,-0.010581867,2,SE10 9SW,2
153,Cyprus,543324,180863,51.50852668850100,0.063840756,3,E6 5PH,3
154,Dagenham Dock,548900,183000,51.526287437082100,0.14503101528852500,5,RM9 6RA,5
155,Dagenham East,550284,185033,51.54418761328960,0.16583343330916700,5,RM10 8AA,5
156,Dagenham Heathway,549035,184665,51.54121203550140,0.14767972147400300,5,RM9 5AN,5
157,Dalston Junction,533580,184778,51.54609359547850,-0.074994204,2,E8 3DL,2
158,Dalston Kingsland,533487,185062,51.54866769606560,-0.076226922,2,E8 2JS,2
159,Debden,544275,196133,51.64549214152590,0.083801475,6,IG10 3TG,6
160,Denmark Hill,532697,176087,51.468200492925100,-0.090987869,2,SE5 8BB,2
161,Deptford,537165,177395,51.47889004331760,-0.02619632,2,SE8 3NU,2
162,Deptford Bridge,537466,176912,51.47447673839480,-0.022052429,2,SE10 8BU,"2,3"
163,Devons Road,537603,182233,51.52225844074300,-0.018007754,2,E3 3QX,2
164,Dollis Hill,522207,185132,51.55185020227430,-0.238797758,3,NW10 5NB,3
